Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location
Mercedes,E Class,2002,80000,3500000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Cantt, Quetta"
Honda,City IDSI,2005,100500,1475000,Petrol,Lahore,Original,Local,Manual,Used,"Baseline Road, Gojra"
Daihatsu,Mira,2018,99000,2340000,Petrol,Karachi,Original,Imported,Automatic,Used,"Jamshed Quarters, Karachi"
Daihatsu,Mira,2014,100000,2050000,Petrol,Karachi,Original,Imported,Automatic,Used,"Javed Bahria Coopretive Housing Society, Karachi"
Daihatsu,Cuore,2007,95000,650000,Petrol,Karachi,Original,Local,Manual,Used,"HBCHS - Haroon Bahria Society, Karachi"
Changan,Alsvin,2021,21600,3500000,Petrol,Lahore,Original,Local,Manual,Used,"Al Jalil Garden, Lahore"
Toyota,Passo,2007,210000,1840000,Petrol,Punjab,Original,Imported,Automatic,Used,"G-11, Islamabad"
Toyota,Corolla XLI,2011,150000,2375000,Petrol,Lahore,Original,Local,Manual,Used,"G-13, Islamabad"
Suzuki,Baleno,2003,100000,870000,Petrol,Karachi,Original,Local,Manual,Used,"Attock Road, Attock"
Hyundai,Santro,2007,169500,895000,Petrol,Lahore,Original,Local,Manual,Used,"Allied City & Market, Faisalabad"
Suzuki,Bolan,2018,12345,1280000,Petrol,Karachi,Original,Local,Manual,Used,"Mominabad, Karachi"
Toyota,Corrolla Altis,2015,145000,3400000,Petrol,Lahore,Original,Local,Automatic,Used,"Nawansher, Abbottabad"
Suzuki,Swift,2017,71000,2200000,Petrol,Lahore,Original,Local,Manual,Used,"Gulistan-e-Jauhar Block 10, Karachi"
Toyota,Passo,2020,18830,4300000,Petrol,Unregistered,Original,Imported,Automatic,Used,"F-6, Islamabad"
Honda,Civic Oriel,2017,75000,4790000,Petrol,Lahore,Original,Local,Automatic,Used,"Gulberg 3, Lahore"
Suzuki,Wagon R,2021,21000,2729000,Petrol,Punjab,Original,Local,Manual,Used,"Sialkot, Punjab"
Honda,City IDSI,2006,28005,1600000,Petrol,Karachi,Original,Local,Manual,Used,"DC Office Road, Layyah"
Changan,Karvaan,2022,2400,2750000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Kaneez Fatima, Karachi"
Toyota,Yaris,2021,32000,4700000,Petrol,Lahore,Original,Local,Automatic,Used,"DHA Defence, Lahore"
Suzuki,Mehran VXR,2003,150000,550000,CNG,Lahore,Original,Local,Manual,Used,"Johar Town, Lahore"
Suzuki,Cultus VXR,2003,69000,825000,Petrol,Lahore,Original,Local,Manual,Used,"Combo Colony, Lahore"
Suzuki,Alto,2014,44000,2300000,Petrol,Karachi,Original,Imported,Automatic,Used,"Gulistan-e-Jauhar, Karachi"
Hyundai,Santro,2005,150000,775000,Petrol,Lahore,Original,Imported,Manual,Used,"Others, Pattoki"
KIA,Classic,2002,150000,700000,CNG,Lahore,Original,Imported,Manual,Used,"Sukkur, Sindh"
Mercedes,E Class,2000,159123,1875000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Bahria Town Phase 8, Rawalpindi"
Suzuki,Alto,2008,45000,870000,Petrol,Lahore,Original,Local,Manual,Used,"Shadbagh, Lahore"
